Date,Entity,Value
2020-10-19,PORTFOLIO,9171.640397006016
2020-10-20,PORTFOLIO,9224.36469163696
2020-10-21,PORTFOLIO,9164.058246574934
2020-10-22,PORTFOLIO,9305.210109203987
2020-10-23,PORTFOLIO,9313.191423033611
2020-10-26,PORTFOLIO,9108.767433246032
2020-10-27,PORTFOLIO,9042.290722060225
2020-10-28,PORTFOLIO,8724.436887738433
2020-10-29,PORTFOLIO,8823.807078162183
2020-10-30,PORTFOLIO,8780.896844726174
2020-11-02,PORTFOLIO,8929.677328306
2020-11-03,PORTFOLIO,9048.211545182776
2020-11-04,PORTFOLIO,9220.703567556115
2020-11-05,PORTFOLIO,9362.707680286205
2020-11-06,PORTFOLIO,9314.195285660944
2020-11-09,PORTFOLIO,9760.507909576287
2020-11-10,PORTFOLIO,9800.184610354529
2020-11-11,PORTFOLIO,9830.735864075868
2020-11-12,PORTFOLIO,9690.733356790743
2020-11-13,PORTFOLIO,9861.147530167833
2020-11-16,PORTFOLIO,10075.053985275275
2020-11-17,PORTFOLIO,10057.608222525054
2020-11-18,PORTFOLIO,9897.061022933562
2020-11-19,PORTFOLIO,9958.824278655049
2020-11-20,PORTFOLIO,9892.158411431486
2020-11-23,PORTFOLIO,10075.33253376173
2020-11-24,PORTFOLIO,10315.897160304725
2020-11-25,PORTFOLIO,10254.227693010052
2020-11-27,PORTFOLIO,10259.354035747123
2020-11-30,PORTFOLIO,10113.710848756898
2020-12-01,PORTFOLIO,10219.226814426163
2020-12-02,PORTFOLIO,10324.544647233728
2020-12-03,PORTFOLIO,10342.447297588715
2020-12-04,PORTFOLIO,10541.125566551022
2020-12-07,PORTFOLIO,10466.045746803049
2020-12-08,PORTFOLIO,10525.263697023154
2020-12-09,PORTFOLIO,10458.344094818594
2020-12-10,PORTFOLIO,10525.056047861031
2020-12-11,PORTFOLIO,10464.41055447096
2020-12-14,PORTFOLIO,10349.317533618232
2020-12-15,PORTFOLIO,10510.22876037355
2020-12-16,PORTFOLIO,10514.872073606308
2020-12-17,PORTFOLIO,10561.801982890473
2020-12-18,PORTFOLIO,10493.969703991508
2020-12-21,PORTFOLIO,10455.372071548678
2020-12-22,PORTFOLIO,10408.103521103008
2020-12-23,PORTFOLIO,10476.169620455868
2020-12-24,PORTFOLIO,10496.20690864104
2020-12-28,PORTFOLIO,10540.197400253728
2020-12-29,PORTFOLIO,10515.000556215633
2020-12-30,PORTFOLIO,10558.897878518297
2020-12-31,PORTFOLIO,10603.340806571163
